MONTH,delay_ratio,DAY_OF_MONTH,total_flights,delayed_flight_count
1,0.06943158266084579,27,90708,6298
2,0.05393011690240909,29,15483,835
3,0.08111672683513839,19,103875,8426
4,0.07741613984346755,23,102343,7923
5,0.08081859849553819,7,102761,8305
6,0.10291366457839647,4,104233,10727
7,0.08031534573910613,4,85874,6897
8,0.07267169550855396,30,101415,7370
9,0.05678430979635799,15,79846,4534
10,0.0573081354021129,17,81594,4676
11,0.06302893629959966,8,78932,4975
12,0.06824649454131526,6,77308,5276
